*fileID,overSegScore,underSegScore,pwF,pwPrecision,pwRecall,R,Fmeasure@0.5s,precRate@0.5s,recRate@0.5s,medianTrue2claim@0.5s,medianClaim2true@0.5s,Fmeasure@3s,precRate@3s,recRate@3s,medianTrue2claim@3s,medianClaim2true@3s
1,0.84838,0.65431,0.74894,0.63595,0.91076,0.77661,0.08,0.066667,0.1,1.3035,1.3064,0.72,0.6,0.9,1.3035,1.3064
2,0.66152,0.56679,0.4866,0.45832,0.51859,0.70321,0.038462,0.02381,0.1,9.6469,9.8307,0.15385,0.095238,0.4,9.6469,9.8307
3,0.933,0.4629,0.57765,0.41229,0.96449,0.58075,0.15385,0.13333,0.18182,1.9774,1.9476,0.53846,0.46667,0.63636,1.9774,1.9476
4,0.97791,0.52583,0.6581,0.49102,0.99753,0.62006,0.42105,0.4,0.44444,1.2744,0.28195,0.52632,0.5,0.55556,1.2744,0.28195
5,0.81587,0.67237,0.62963,0.52713,0.78163,0.7697,0.41176,0.33333,0.53846,0.0855,0.0353,0.41176,0.33333,0.53846,0.0855,0.0353
6,0.72994,0.57989,0.60291,0.52291,0.71181,0.72818,0.28571,0.23529,0.36364,1.742,1.7181,0.42857,0.35294,0.54545,1.742,1.7181
7,0.80311,0.79048,0.65858,0.58822,0.74805,0.85078,0.22581,0.13725,0.63636,0.1035,5.6573,0.35484,0.21569,1,0.1035,5.6573
8,0.83249,0.84691,0.91465,0.91906,0.91029,0.91341,0.1,0.071429,0.16667,1.5356,1.6303,0.5,0.35714,0.83333,1.5356,1.6303
9,0.71925,0.72487,0.71622,0.70732,0.72535,0.87263,0.22222,0.15789,0.375,3.1349,3.7239,0.2963,0.21053,0.5,3.1349,3.7239
10,0.80073,0.47061,0.57382,0.4246,0.88475,0.6886,0.12903,0.11765,0.14286,2.7597,2.5612,0.51613,0.47059,0.57143,2.7597,2.5612
11,0.61851,0.73895,0.64422,0.74023,0.57026,0.75954,0.097561,0.064516,0.2,2.1932,3.2631,0.34146,0.22581,0.7,2.1932,3.2631
12,0.74449,0.52717,0.38629,0.27811,0.63223,0.68661,0.2029,0.12069,0.63636,0.028,7.3769,0.31884,0.18966,1,0.028,7.3769
13,0.71727,0.86226,0.76329,0.86093,0.68554,0.91858,0.17778,0.10811,0.5,0.4592,6.7539,0.26667,0.16216,0.75,0.4592,6.7539
14,0.58769,0.41369,0.39533,0.31693,0.52526,0.73385,0.051282,0.034483,0.1,3.7969,3.9955,0.10256,0.068966,0.2,3.7969,3.9955
15,0.5074,0.69885,0.48396,0.65689,0.38311,0.79331,0.086957,0.057143,0.18182,1.5785,3.1578,0.34783,0.22857,0.72727,1.5785,3.1578
16,0.68559,0.59077,0.42409,0.35172,0.53395,0.7233,0.081633,0.054054,0.16667,1.5063,2.2101,0.44898,0.2973,0.91667,1.5063,2.2101
17,0.74139,0.56784,0.46026,0.35487,0.65469,0.78644,0.11111,0.076923,0.2,4.1782,8.4177,0.22222,0.15385,0.4,4.1782,8.4177
18,0.67979,0.58325,0.44566,0.37536,0.54837,0.79474,0.26316,0.17857,0.5,1.1873,5.0093,0.36842,0.25,0.7,1.1873,5.0093
19,0.81253,0.9051,0.91347,0.9581,0.87282,0.92677,0.52632,0.41667,0.71429,0.0434,0.0449,0.52632,0.41667,0.71429,0.0434,0.0449
20,0.83714,0.61209,0.70376,0.57432,0.90854,0.74402,0.068966,0.0625,0.076923,2.9754,2.031,0.48276,0.4375,0.53846,2.9754,2.031
21,0.89376,0.38768,0.56771,0.40344,0.95763,0.62828,0.15385,0.11765,0.22222,1.7314,1.6844,0.38462,0.29412,0.55556,1.7314,1.6844
22,0.73098,0.36994,0.48476,0.34891,0.79386,0.61375,0.074074,0.058824,0.1,4.5337,4.52,0.074074,0.058824,0.1,4.5337,4.52
23,0.81342,0.67385,0.70745,0.62034,0.82302,0.82361,0.33962,0.2093,0.9,0.03645,5.3153,0.37736,0.23256,1,0.03645,5.3153
24,0.96062,0.93876,0.96236,0.93583,0.99045,0.97267,0.56,0.4375,0.77778,0.0217,0.02215,0.72,0.5625,1,0.0217,0.02215
25,0.77459,0.42288,0.51335,0.39122,0.74634,0.64133,0.10526,0.068966,0.22222,1.0076,1.3836,0.47368,0.31034,1,1.0076,1.3836
26,0.95472,0.68849,0.7527,0.61021,0.98201,0.77237,0.5,0.375,0.75,0.0988,0.1003,0.5,0.375,0.75,0.0988,0.1003
27,0.83566,0.25589,0.44943,0.30091,0.88747,0.42936,0.090909,0.090909,0.090909,9.8989,9.4508,0.18182,0.18182,0.18182,9.8989,9.4508
28,0.97914,0.73493,0.80443,0.67377,0.99797,0.81683,0.59259,0.47059,0.8,0.0105,0.0093,0.66667,0.52941,0.9,0.0105,0.0093
29,0.80645,0.61323,0.62251,0.50776,0.80427,0.74071,0.34483,0.29412,0.41667,1.5031,0.8184,0.55172,0.47059,0.66667,1.5031,0.8184
